chunk_id,source_file,doc_group,doc_type,chunk_type,section,question,page_start,page_end,char_count,content_preview
eb0316a50e3942ff8eefd7aac0e6a45f,..\data\中央机关及其直属机构2026年度考试录用公务员专题.pdf,exam_outline,other_policy,policy_section,,,1,1,1037,2026年05月27日  星期三  下午好！ 国家公务员局中央机关及其直属机构2026年度考试录用公务员专题首页 > 招考公告 > 招考公告中央机关及其直属机构2026年度考试录用公务员公共科目笔试考试大纲发布日期：2025-10-14公务员是干部队伍的重要组成部分，是社会主义事业的中坚力量，是人民的公仆。公务员录用是各级机关选拔一级主任科员以下及其他相当职级层次公务员的主要方式。公务员录用坚持以习近平新时代中国特色社会主义思想为指导，以建设高素质专业化队伍为目标，坚持...
bbbedfc3bf7141b1885c83050f1d0d75,..\data\中央机关及其直属机构2026年度考试录用公务员专题.pdf,exam_outline,other_policy,policy_section,,,2,2,1098,②共同富裕是社会主义的本质要求，是中国式现代化的重要特征③在物质文明方面超越西方发达国家，是中国式现代化的主要目标④遵循世界各国现代化的共同模式，是中国式现代化道路的基本经验⑤中国式现代化新道路，创造了人类文明新形态A．2项                                          B．3项C．4项                                          D．5项（答案：B。①出自《高举中国特色社会主义伟大旗帜 为全面建...
82ec156e9a5247a8adbd929dee1f1dc1,..\data\中央机关及其直属机构2026年度考试录用公务员专题.pdf,exam_outline,other_policy,policy_section,,,3,3,1152,③因地制宜大力发展特色产业，推进农村一二三产业融合发展④持续深化农村人居环境整治，加强传统村落和乡村特色风貌保护，加强农村精神文明建设A．①②③                                          B．①②④C．①③④                                          D．②③④（答案：D。要积极推进以县城为重要载体的新型城镇化建设，提升县城市政公用设施建设水平和基础公共服务、产业配套功能，增强综合承载能力和...
585d23d01ad44b24adcaba524b5e03bb,..\data\中央机关及其直属机构2026年度考试录用公务员专题.pdf,exam_outline,other_policy,policy_section,,,4,4,1241,能转化成内能，C选项表述错误。雪到水的转化过程会吸收热量，D选项表述错误。因此，正确答案为A。）例题3：关于常见气体的工业制备方法，下列说法错误的是： A．木炭和二氧化碳可以作为制备一氧化碳的原料B．电解水时制备得到的氢气体积比氧气体积更大C．通过低温液化的方法可以分离出沼气中的甲烷D．高温煅烧石灰石制备二氧化碳属于复分解反应（答案：D。碳（木炭）和二氧化碳在高温下发生反应生成一氧化碳，故A正确。在充满电解液的电解槽中通入直流电，水分子在电极上发生电化学反应生成氧气和氢...
6792e06ece1345bbb7e027c2656ae7ac,..\data\中央机关及其直属机构2026年度考试录用公务员专题.pdf,exam_outline,other_policy,policy_section,,,5,5,1091,依次填入画横线部分最恰当的一项是： A．蔓延   守护   犹豫B．扩散   占据   退缩C．泛滥   掌握   含糊D．滋生   控制   迟疑（答案：C。这段文字主要说明主流媒体在宣传时应发挥的作用。根据语意，第一空所填动词的主语是“消极、错误的言论观点”，“蔓延”“扩散”“泛滥”合适；“滋生”意为引起，不合适。第二空所填动词的宾语是“舆论场主动权和主导权”，填入“占据”“掌握”“控制”合适，表达主动性强；“守护”强调已有主动权，保护其不被夺走，不符语意，不合适。...
b1987063c407474c927427ef9ce88c6d,..\data\中央机关及其直属机构2026年度考试录用公务员专题.pdf,exam_outline,other_policy,policy_section,,,6,6,1188,（答案：A。首句指出环境保护主义“是一种重建人与自然关系的强烈愿望”，次句说明“要实现这一愿望，就必须树立一种自然共同体的意识”，第三句说明“只有树立了这样的一种道德意识”的重要意义，最后归结到“这不仅依赖……，也依赖……”，即实现这种意识的条件。因此，可知“这”指的是“自然共同体意识的树立”，正确答案为A。）例题5：早在先秦时期，我国就逐渐形成了以炎黄华夏为凝聚核心、“五方之民”共天下的交融格局。秦国“书同文，车同轨，量同衡，行同伦”，开启了中国统一的多民族国家发展的...
c9dd6c78854f4213a9ab0b6a5217a49f,..\data\中央机关及其直属机构2026年度考试录用公务员专题.pdf,exam_outline,other_policy,policy_section,,,7,7,1449,例题7：根据所给材料，回答（1）～（5）题。 海洋石刻遗产是我国海洋遗产中具有独特意义的一类物质文化遗产类别。所谓海洋石刻遗产，通常指的是分布在我国海岸带地区、以石为载体、表述海洋社会文化主题的各类石刻，也包括一部分位于内陆地区的涉海石刻。海洋石刻遗产是中国海洋文明的历史见证，是历代涉海人群的重要历史记忆，蕴含着丰富的海洋文化信息。 中国很早就有利用海洋及刻画海洋的传统。早在新石器时期，滨海地带生活的早期人类就已经开始利用石头作为表述工具，如东南沿海一带的贝丘遗址中，发...
20f46a2f96f848bcb25946e62d2aa4ce,..\data\中央机关及其直属机构2026年度考试录用公务员专题.pdf,exam_outline,other_policy,policy_section,,,8,8,905,（1）下面这段文字，最适合填入文中的哪个位置？ 如我们在福建诏安地区调查时，发现了一通乾隆年间反映地方官府对于船户“烙号刊名”的示禁碑。在这块碑文中，清楚地载明严禁当地澳甲等海洋管理人员利用印烙船号的机会苛索船户费用的内容，展现了清代前期地方官员对于海洋的治理。 A．①                                                B．②C．③                                                ...
9d8c225e9f3f441e9c2bfefa9ccd3933,..\data\中央机关及其直属机构2026年度考试录用公务员专题.pdf,exam_outline,other_policy,policy_section,,,9,9,1137,而暴露在自然界中，容易遭受台风、海啸、海水酸化侵蚀等海洋灾害带来的严重损害”，可以推知，下文应该是讲“海洋石刻遗产的保护举措”。因此，正确答案为C。）（5）最适合做这篇文章标题的是： A．古代海洋石刻：海洋文明兴衰的见证B．海洋石刻遗产：海洋文明的记忆镌刻C．沿海地区的记忆坐标：海洋石刻文书D．复原海洋记忆的钥匙：海洋石刻发掘（答案：B。“海洋石刻遗产”是全文核心，通过海洋石刻遗产探索海洋文明，因此，最适合做这篇文章标题的是“海洋石刻遗产：海洋文明的记忆镌刻”。因此，正...
d9655509d8d14dceb8b90fd7e13a7a47,..\data\中央机关及其直属机构2026年度考试录用公务员专题.pdf,exam_outline,other_policy,policy_section,,,10,10,1013,（答案：D。假设丙得分为x，则甲+乙=2x+4，（甲+乙）/2=（丙+丁+戊）/3+3，则丁+戊=2x-3；戊-丁=10，则戊=x+3.5，丁=x-6.5。因此，正确答案为D。）例题3：高校某专业70多名毕业生中，有96%在毕业后去西部省区支援国家建设。其中去偏远中小学支教的毕业生占该专业毕业生总数的20%，比任职大学生村官的毕业生少2人，比在西部地区参军入伍的毕业生多1人，其余的毕业生选择去国有企业西部边远岗位工作。问去国有企业西部边远岗位工作的毕业生有多少人？ A．...
